epoch,accuracy,loss,lr,recall,val_accuracy,val_loss,val_recall
0,0.8102248311042786,0.5069568753242493,1e-05,0.73876953125,0.8303710222244263,0.35612305998802185,0.7338877320289612
1,0.8087599873542786,0.5027268528938293,1e-05,0.742919921875,0.835030198097229,0.3506152033805847,0.7297297120094299
2,0.8105911016464233,0.5050013661384583,1e-05,0.741455078125,0.8301984667778015,0.35826733708381653,0.7442827224731445
3,0.8110305666923523,0.5090214610099792,1e-05,0.73974609375,0.8300259113311768,0.357542484998703,0.7401247620582581
4,0.8123489618301392,0.49900656938552856,5e-06,0.74609375,0.8360655903816223,0.3479190468788147,0.7359667420387268
5,0.8116897344589233,0.5017949342727661,5e-06,0.739501953125,0.8317515254020691,0.35529252886772156,0.7380457520484924
6,0.8125686645507812,0.5000828504562378,5e-06,0.74072265625,0.8355478644371033,0.34980177879333496,0.7338877320289612
7,0.8134475946426392,0.4962199032306671,2.5e-06,0.744384765625,0.8320966362953186,0.3549982011318207,0.7401247620582581
8,0.814473032951355,0.503068208694458,2.5e-06,0.740234375,0.8341673612594604,0.3515225648880005,0.7338877320289612
9,0.8127884268760681,0.49879106879234314,1.25e-06,0.7412109375,0.8327868580818176,0.3532971143722534,0.7359667420387268
