epoch,accuracy,loss,lr,recall,val_accuracy,val_loss,val_recall
0,0.6424999833106995,1.012933373451233,0.001,0.7085307836532593,0.5799999833106995,0.6738683581352234,0.7011494040489197
1,0.8412500023841858,0.4453788697719574,0.001,0.8981042504310608,0.5649999976158142,0.6746779084205627,0.8160919547080994
2,0.9387500286102295,0.18772515654563904,0.001,0.9739336371421814,0.6050000190734863,0.6653622984886169,0.8620689511299133
3,0.9462500214576721,0.1766839474439621,0.001,0.9597156643867493,0.5550000071525574,0.6748468279838562,0.7471264600753784
4,0.9449999928474426,0.1632540374994278,0.001,0.9573459625244141,0.5450000166893005,0.7871273159980774,0.8160919547080994
5,0.9512500166893005,0.15111029148101807,0.001,0.9763033390045166,0.5600000023841858,0.7587599158287048,0.7011494040489197
6,0.9449999928474426,0.19085843861103058,0.001,0.971563994884491,0.6050000190734863,0.7221870422363281,0.25287356972694397
7,0.9287499785423279,0.255923867225647,0.001,0.9431279897689819,0.6499999761581421,0.7910531759262085,0.4712643623352051
8,0.9637500047683716,0.11396955698728561,0.0005,0.971563994884491,0.6899999976158142,0.8412995934486389,0.5632184147834778
9,0.9850000143051147,0.04846159368753433,0.0005,0.9928910136222839,0.6700000166893005,0.7587949633598328,0.7011494040489197
10,0.9962499737739563,0.019540060311555862,0.0005,1.0,0.6700000166893005,0.7821317315101624,0.6896551847457886
11,0.9962499737739563,0.02317584492266178,0.0005,0.9976303577423096,0.7400000095367432,0.8011261820793152,0.8160919547080994
12,0.9950000047683716,0.022833622992038727,0.0005,0.9928910136222839,0.7300000190734863,0.8002619743347168,0.7241379022598267
